V_BZNO,DEFAULT_YM,IS_RECOVERED,RECOVER_DT,DEFAULT_DT,DSH_RSN_CNT,DSH_RSN_DSC,RECOVER_YM
1000004852,202404,0,,2024-04-08,1,41,
1000004873,202602,0,,2026-02-19,1,41,
1000004880,202405,0,,2024-05-29,1,41,
1000004929,202511,0,,2025-11-10,1,41,
1000004936,202601,0,,2026-01-08,1,41,
1000004964,202309,1,2024-06-10,2023-09-15,1,41,202406
1000004964,202504,0,,2025-04-04,1,41,
1000004976,202311,0,,2023-11-04,1,41,
1000004995,202410,0,,2024-10-14,1,41,
1000005022,202112,0,,2021-12-30,1,41,
1000005069,202112,0,,2021-12-23,1,41,
1000005104,202312,0,,2023-12-04,1,41,
1000005107,202311,0,,2023-11-24,1,41,
1000005154,202603,0,,2026-03-28,1,41,
1000005156,202209,0,,2022-09-08,1,41,
1000005226,202601,0,,2026-01-28,1,41,
1000005235,202402,0,,2024-02-29,1,41,
1000005293,202508,0,,2025-08-22,1,41,
1000005306,202306,0,,2023-06-30,1,41,
1000005309,202308,0,,2023-08-07,1,41,
1000005314,202411,0,,2024-11-06,1,41,
1000005344,202410,0,,2024-10-28,1,41,
1000005354,202507,0,,2025-07-07,1,41,
1000005388,202403,0,,2024-03-29,1,41,
1000005471,202307,0,,2023-07-27,1,41,
1000005476,202508,0,,2025-08-14,1,41,
1000005533,202508,0,,2025-08-22,1,41,
1000005547,202310,0,,2023-10-04,1,41,
1000005557,202310,0,,2023-10-23,1,41,
1000005561,202202,0,,2022-02-28,1,41,
1000005636,202111,0,,2021-11-29,1,41,
1000005712,202605,0,,2026-05-04,1,41,
1000005723,202212,0,,2022-12-15,1,41,
1000005852,202407,0,,2024-07-09,1,41,
1000005890,202309,0,,2023-09-12,1,40,
1000005903,202602,0,,2026-02-26,1,41,
1000005908,202209,0,,2022-09-16,1,41,
1000005909,202207,0,,2022-07-01,1,41,
1000006096,202309,0,,2023-09-14,1,92,
1000006118,202201,0,,2022-01-21,1,41,
1000006119,202202,0,,2022-02-03,1,41,
1000006137,202109,1,2021-11-30,2021-09-25,1,41,202111
1000006177,202505,0,,2025-05-29,1,40,
1000006181,202510,0,,2025-10-23,1,40,
1000006249,202401,0,,2024-01-19,1,41,
1000006255,202403,0,,2024-03-29,1,41,
1000006375,202402,1,2024-09-05,2024-02-15,1,41,202409
1000006375,202411,0,,2024-11-13,1,41,
1000006383,202410,0,,2024-10-30,1,41,
1000006389,202107,0,,2021-07-29,1,10,
1000006405,202508,0,,2025-08-29,1,41,
1000006458,202408,0,,2024-08-09,1,41,
1000006471,202410,0,,2024-10-23,1,41,
1000006473,202511,0,,2025-11-07,1,41,
1000006532,202206,0,,2022-06-30,1,41,
1000006538,202503,0,,2025-03-19,1,41,
1000006565,202302,0,,2023-02-09,1,41,
1000006621,202511,0,,2025-11-22,1,41,
1000006628,202604,0,,2026-04-02,1,41,
1000006634,202605,0,,2026-05-02,1,41,
1000006659,202407,0,,2024-07-24,1,41,
1000006660,202209,1,2022-10-24,2022-09-23,1,41,202210
1000006679,202406,0,,2024-06-03,1,40,
1000006704,202402,0,,2024-02-08,1,41,
1000006705,202509,0,,2025-09-18,1,41,
1000006714,202510,0,,2025-10-27,1,41,
1000006728,202408,0,,2024-08-17,1,41,
1000006741,202204,1,2022-06-27,2022-04-02,1,41,202206
1000006741,202211,0,,2022-11-17,1,92,
1000006760,202512,0,,2025-12-27,1,41,
1000006781,202505,0,,2025-05-30,1,41,
1000006782,202506,0,,2025-06-21,1,41,
1000006829,202507,0,,2025-07-24,1,41,
1000006886,202310,0,,2023-10-12,1,41,
1000006952,202308,0,,2023-08-11,1,41,
1000006964,202407,0,,2024-07-18,1,41,
1000006983,202403,0,,2024-03-29,1,41,
1000007017,202407,0,,2024-07-02,1,41,
1000007157,202109,0,,2021-09-06,1,40,
1000007229,202511,0,,2025-11-27,1,41,
1000007264,202210,0,,2022-10-07,1,41,
1000007298,202209,0,,2022-09-28,1,41,
1000007303,202108,1,2022-02-28,2021-08-11,1,41,202202
1000007309,202604,0,,2026-04-06,1,41,
