V_BZNO|BAS_YM|FC_AM1|LA_INSP_KRW_AM1|FC_AM2|LA_INSP_KRW_AM2|FC_AM3|LA_INSP_KRW_AM3|FC_AM4|LA_INSP_KRW_AM4|LA_INSP_KRW_AM5|
가상_사업자번호|기준년월 |미국_외화|미국_원화|일본_외화|일본_원화|중국_외화|중국_원화|유럽_외화|유럽_원화|계_원화|
1000000072|202212|0|34482|0|11|||0|19|34697|
1000000072|202312|0|21322|0|15|||0|19|21356|
1000000072|202412|0|45239|0|10|||||45249|
1000000072|202512|0|30993|0|13|||||31006|
1000000074|202112|47701000|56549|943300000|9719|||310000|416|66684|
1000000074|202212|46324000|58707|1940100000|18493|||3000|4|77204|
1000000074|202312|23986000|30927|1107300000|10106|||26000|37|41070|
1000000074|202412|22160000|32575|296800000|2780|||405000|619|35974|
1000000076|202112|110900|131|||||5750|8|139|
1000000076|202212|107884|136|||||399609|540|676|
1000000076|202312|140791|182|||||651637|930|1112|
1000000076|202412|218842|322|||||||337|
1000000080|202112|45057|53|7245290|75|||||144|
1000000080|202212|48989|62|847400|8|25325|5|||93|
1000000080|202312|||||||||139|
1000000080|202412|850|1|829000|8|||||44|
1000000081|202112|0|21|||||||21|
1000000081|202212|0|167|||||||167|
1000000084|202112|0|375|||0|1814|||2189|
1000000084|202212|0|368|||0|2785|||3153|
1000000084|202312|0|168|||0|3639|||3807|
1000000084|202412|0|370|||0|4014|||4384|
1000000086|202112|0|37263|0|1756|||||54640|
1000000086|202212|0|30218|0|428|||||50619|
1000000086|202312|0|52986|0|919|||||63182|
1000000086|202412|0|57400|0|12613|||||82614|
1000000087|202112|457659|542|||||||542|
1000000087|202212|648423|819|||||||819|
1000000087|202312|86588|112|||||||112|
1000000087|202412|113272|165|||||||165|
1000000088|202112|0|355566|||||||355566|
1000000088|202212|0|5000|||||||5000|
1000000088|202312|0|193137|||||||193137|
1000000088|202412|0|220443|||||||220443|
1000000089|202112|5712|6|||||5166360|6946|6952|
1000000089|202212|||||||4250000|5743|5743|
1000000089|202312|239454|309|||34085|6|600|1|316|
1000000089|202412|158322|233|||||3050000|4663|4896|
1000000093|202103|299371|339|8398613|86|||||425|
1000000093|202203|1994957|2416|10775103|107|||||2523|
1000000093|202303|497561|648|8532298|84|||||732|
1000000093|202403|410425|553|9992603|89|||||642|
1000000093|202503|448540|658|8361611|82|||||740|
1000000094|202112|||||||||11114|
1000000094|202312|||||||||12063|
1000000094|202412|||||||||13737|
1000000095|202212|0|15401|0|558|||0|2507|18557|
1000000095|202312|0|6169|0|919|||0|1373|8895|
1000000095|202412|0|1897|0|917|||0|198|3037|
1000000100|202112|342016344|405460|6002175787|61837|112440948|20943|67435996|90522|641819|
1000000100|202212|276607844|339920|6711753495|63975|235512146|42731|56024164|75700|551498|
1000000100|202312|185052592|238607|6383002754|58255|35403745|6402|32751643|46723|365745|
1000000100|202412|131422475|193191|4477263080|41929|28901282|5817|22356302|34177|310558|
1000000101|202112|17238402|1245|6622000|340|||253462|0|1585|
