V_BZNO|LA_XPO_AM_2021_1|DME_AM_2021_1|TOT_SEL_AM_2021_1|LA_XPO_AM_2021_2|DME_AM_2021_2|TOT_SEL_AM_2021_2|LA_XPO_AM_2021_3|DME_AM_2021_3|TOT_SEL_AM_2021_3|LA_XPO_AM_2021_4|DME_AM_2021_4|TOT_SEL_AM_2021_4|LA_XPO_AM_2022_1|DME_AM_2022_1|TOT_SEL_AM_2022_1|LA_XPO_AM_2022_2|DME_AM_2022_2|TOT_SEL_AM_2022_2|LA_XPO_AM_2022_3|DME_AM_2022_3|TOT_SEL_AM_2022_3|LA_XPO_AM_2022_4|DME_AM_2022_4|TOT_SEL_AM_2022_4|LA_XPO_AM_2023_1|DME_AM_2023_1|TOT_SEL_AM_2023_1|LA_XPO_AM_2023_2|DME_AM_2023_2|TOT_SEL_AM_2023_2|LA_XPO_AM_2023_3|DME_AM_2023_3|TOT_SEL_AM_2023_3|LA_XPO_AM_2023_4|DME_AM_2023_4|TOT_SEL_AM_2023_4|LA_XPO_AM_2024_1|DME_AM_2024_1|TOT_SEL_AM_2024_1|LA_XPO_AM_2024_2|DME_AM_2024_2|TOT_SEL_AM_2024_2|LA_XPO_AM_2024_3|DME_AM_2024_3|TOT_SEL_AM_2024_3|LA_XPO_AM_2024_4|DME_AM_2024_4|TOT_SEL_AM_2024_4|LA_XPO_AM_2025_1|DME_AM_2025_1|TOT_SEL_AM_2025_1|LA_XPO_AM_2025_2|DME_AM_2025_2|TOT_SEL_AM_2025_2|LA_XPO_AM_2025_3|DME_AM_2025_3|TOT_SEL_AM_2025_3|LA_XPO_AM_2025_4|DME_AM_2025_4|TOT_SEL_AM_2025_4|
1000017113||||||||||0|21365|21365||||||||||0|33668|33668||||||||||0|25078|25078||||||||||0|27733|27733||||||||||0|22324|22324|
1000017331||||||||||0|9149|9149|||||||||||||||||||||||||||||||||||||||||||||||||
1000017490||||||||||||||||||||||||||||||||||0|877|877|||||||||||||||||||||||||
1000017701||||||||||||||||||||||0|46932|46932||||||||||||||||||||||0|45758|45758||||||||||0|48408|48408|
1000017830||||||||||||||||||||||0|21632|21632||||||||||||||||||||||||||||||||||0|19041|19041|
1000018136||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1802|1802|
1000018231||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|205951|205951|
1000018301||||||||||||||||||||||0|2210|2210||||||||||0|2983|2983|||||||||||||||||||||||||
1000018338||||||||||||||||||||||||||||||||||0|21217|21217|0|3118|3118|0|9738|9738|0|15295|15295|0|21066|21066|0|4138|4138|0|11679|11679|0|17743|17743|0|24338|24338|
1000018343||||||||||0|381659|381659||||||||||0|389180|389180||||||||||0|489219|489219||||||||||0|510929|510929||||||||||0|515226|515226|
1000018346||||||||||0|171352|171352||||||||||0|183969|183969||||||||||0|147425|147425||||||||||0|129440|129440||||||||||0|278461|278461|
1000018375||||||||||0|27625|27625||||||||||||||||||||||||||||||||||||||||||||||0|31599|31599|
1000018500||||||||||||||||||||||||||||||||||||||||||||||0|49276|49276|||||||||||||
1000018609||||0|4178|4178|||||||||||||||||||||||||||||||||||||||||||||||||||||||
1000018663||||||||||0|4278|4278||||||||||0|6444|6444||||||||||0|7261|7261||||||||||0|8013|8013|||||||||||||
1000018778|96861|10446|107307|196949|19780|216729|319539|31604|351143|460634|42426|503060|164823|6161|170984|329147|11399|340546|511480|13817|525297|675840|15990|691830|214441|5259|219700|466233|11408|477641|694639|19999|714638|897128|28708|925836|122717|4365|127082|291129|9309|300438|483491|16128|499619|635144|27472|662616|253691|3444|257135|489979|7781|497760|778522|12395|790917|951360|14029|965389|
1000018786||||||||||||||||||||||||||||||||||0|7196|7196|||||||||||||||||||||||||
1000018888|0|201252|201252|0|396692|396692|0|648611|648611|0|925509|925509|0|295380|295380|0|591257|591257|240724|640312|881036|328067|860508|1188575|0|300266|300266|215600|288205|503805|0|677592|677592|0|903772|903772|0|177791|177791|0|431645|431645|0|672507|672507|0|827800|827800|43139|136612|179751|0|336256|336256|0|518871|518871|0|641312|641312|
1000019002||||||||||0|5151|5151|||||||||||||||||||||||||||||||||||||||||||||||||
1000019097||||||||||||||||||||||296780|84253|381033|35820|43209|79029|123215|42016|165231|188493|60678|249171|246596|77222|323818|69767|19910|89677|153347|43521|196868|223570|63848|287418|298112|88443|386555|71659|23571|95230|140958|45381|186339|201586|70094|271680|258725|93447|352172|
1000019109||||||||||0|2209|2209||||||||||0|1896|1896||||||||||||||||||||||0|152|152|||||||||||||
1000020166||||||||||0|180501|180501||||||||||0|240890|240890|||||||||||||||||||||||||||||||||||||
1000020185|||||||||||||0|76686|76686||||||||||0|95547|95547||||||||||0|98407|98407||||||||||||||||||||||
1000020271||||||||||||||||||||||0|7580|7580||||||||||0|2153|2153|||||||||||||||||||||||||
1000020308||||||||||||||||||||||0|4647|4647||||||||||0|17929|17929||||||||||0|8539|8539|||||||||||||
