V_BZNO|LA_XPO_AM_2021_1|DME_AM_2021_1|TOT_SEL_AM_2021_1|LA_XPO_AM_2021_2|DME_AM_2021_2|TOT_SEL_AM_2021_2|LA_XPO_AM_2021_3|DME_AM_2021_3|TOT_SEL_AM_2021_3|LA_XPO_AM_2021_4|DME_AM_2021_4|TOT_SEL_AM_2021_4|LA_XPO_AM_2022_1|DME_AM_2022_1|TOT_SEL_AM_2022_1|LA_XPO_AM_2022_2|DME_AM_2022_2|TOT_SEL_AM_2022_2|LA_XPO_AM_2022_3|DME_AM_2022_3|TOT_SEL_AM_2022_3|LA_XPO_AM_2022_4|DME_AM_2022_4|TOT_SEL_AM_2022_4|LA_XPO_AM_2023_1|DME_AM_2023_1|TOT_SEL_AM_2023_1|LA_XPO_AM_2023_2|DME_AM_2023_2|TOT_SEL_AM_2023_2|LA_XPO_AM_2023_3|DME_AM_2023_3|TOT_SEL_AM_2023_3|LA_XPO_AM_2023_4|DME_AM_2023_4|TOT_SEL_AM_2023_4|LA_XPO_AM_2024_1|DME_AM_2024_1|TOT_SEL_AM_2024_1|LA_XPO_AM_2024_2|DME_AM_2024_2|TOT_SEL_AM_2024_2|LA_XPO_AM_2024_3|DME_AM_2024_3|TOT_SEL_AM_2024_3|LA_XPO_AM_2024_4|DME_AM_2024_4|TOT_SEL_AM_2024_4|LA_XPO_AM_2025_1|DME_AM_2025_1|TOT_SEL_AM_2025_1|LA_XPO_AM_2025_2|DME_AM_2025_2|TOT_SEL_AM_2025_2|LA_XPO_AM_2025_3|DME_AM_2025_3|TOT_SEL_AM_2025_3|LA_XPO_AM_2025_4|DME_AM_2025_4|TOT_SEL_AM_2025_4|
가상_사업자번호|여신수출금액 _2021_1분기|내수금액_2021_1분기|총판매금액_2021_1분기|여신수출금액 _2021_2분기|내수금액_2021_2분기|총판매금액_2021_2분기|여신수출금액 _2021_3분기|내수금액_2021_3분기|총판매금액_2021_3분기|여신수출금액 _2021_4분기|내수금액_2021_4분기|총판매금액_2021_4분기|여신수출금액 _2022_1분기|내수금액_2022_1분기|총판매금액_2022_1분기|여신수출금액 _2022_2분기|내수금액_2022_2분기|총판매금액_2022_2분기|여신수출금액 _2022_3분기|내수금액_2022_3분기|총판매금액_2022_3분기|여신수출금액 _2022_4분기|내수금액_2022_4분기|총판매금액_2022_4분기|여신수출금액 _2023_1분기|내수금액_2023_1분기|총판매금액_2023_1분기|여신수출금액 _2023_2분기|내수금액_2023_2분기|총판매금액_2023_2분기|여신수출금액 _2023_3분기|내수금액_2023_3분기|총판매금액_2023_3분기|여신수출금액 _2023_4분기|내수금액_2023_4분기|총판매금액_2023_4분기|여신수출금액 _2024_1분기|내수금액_2024_1분기|총판매금액_2024_1분기|여신수출금액 _2024_2분기|내수금액_2024_2분기|총판매금액_2024_2분기|여신수출금액 _2024_3분기|내수금액_2024_3분기|총판매금액_2024_3분기|여신수출금액 _2024_4분기|내수금액_2024_4분기|총판매금액_2024_4분기||여신수출금액 _2025_1분기|내수금액_2025_1분기|총판매금액_2025_1분기|여신수출금액 _2025_2분기|내수금액_2025_2분기|총판매금액_2025_2분기|여신수출금액 _2025_3분기|내수금액_2025_3분기|총판매금액_2025_3분기|여신수출금액 _2025_4분기|내수금액_2025_4분기|
1000000050|34782|1189312|1224094|69125|2674657|2743782|97490|4041262|4138752|133627|5567485|5701112|54094|1140933|1195027|126217|2636799|2763016|270445|3853213|4123658|570941|5373390|5944331|282111|1139173|1421284|572916|2494177|3067093|908260|3966540|4874800|1227534|5583571|6811105|174626|1720460|1895086|0|4000861|4000861|448354|5580070|6028424|603739|7259499|7863238|66580|1726871|1793451|0|3748513|3748513|0|5837245|5837245|0|7909901|7909901|
1000000088|0|1319968|1319968|0|2715289|2715289|0|4382431|4382431|0|6316436|6316436|0|1766530|1766530|0|3643630|3643630|0|5598708|5598708|0|7812755|7812755|0|1563418|1563418|0|3139319|3139319|0|4636807|4636807|0|6357089|6357089|0|1604739|1604739|0|3209127|3209127|0|4749220|4749220|0|6570413|6570413|0|1665840|1665840|0|3359665|3359665|0|4995796|4995796|0|6929499|6929499|
1000000169|9396437|11603417|20999854|6645912|19680907|26326819|9524739|27957413|37482152|14258317|24058069|38316386|4442666|6147319|10589985|8757408|12492372|21249780|13125241|17628895|30754136|17193154|23830142|41023296|3529618|7365266|10894884|7124212|14892176|22016388|10757799|22402919|33160718|14486174|27320419|41806593|3807501|6787094|10594595|7746085|13630964|21377049|11653058|20610415|32263473|14807995|27680099|42488094|3685792|6628304|10314096|6667874|19762589|26430463|10465460|29635768|40101228|14542346|39129857|53672203|
1000000223|245635|65293|310928|599196|152737|751933|944307|216380|1160687|1294595|282517|1577112|335352|81222|416574|688387|169720|858107|1012079|232842|1244921|1300431|301343|1601774|300217|43387|343604|633477|56959|690436|928829|77202|1006031|1212751|99025|1311776|289516|6630|296146|649066|-9887|639179|998238|-18940|979298|1300349|5425|1305774|311991|7123|319114|678398|-10580|667818|1054596|-32297|1022299|1442059|-46503|1395556|
1000000245||||||||||0|33393|33393||||||||||0|33341|33341||||||||||0|34122|34122||||||||||0|32746|32746||||||||||0|28867|28867|
1000000263|60656|245723|306379|134286|570803|705089|210043|837905|1047948|296147|1155738|1451885|103838|497433|601271|254700|965170|1219870|394335|1321075|1715410|465895|1703671|2169566|105271|383109|488380|170970|700838|871808|260225|943941|1204166|0|1588078|1588078|74682|341049|415731|0|819789|819789|241642|904663|1146305|0|1519110|1519110|0|437663|437663|0|863856|863856|0|1224186|1224186|365497|1234749|1600246|
1000000273|251|62607|62858|747|120676|121423|1322|178987|180309|1773|261170|262943|200|74082|74282|510|149930|150440|943|226940|227883|1391|312855|314246|265|78316|78581|533|147702|148235|830|218906|219736|1270|310419|311689|291|71210|71501|557|141276|141833|935|220569|221504|2051|311599|313650|714|71359|72073|1198|140730|141928|1612|218312|219924|2038|304199|306237|
1000000282|0|122330|122330|0|216710|216710|0|345683|345683|347759|15740|363499|0|140471|140471|0|306561|306561|0|477281|477281|0|642920|642920|136969|4919|141888|0|335807|335807|0|502021|502021|0|675333|675333|0|199610|199610|335605|6956|342561|0|610763|610763|0|836867|836867|205078|4526|209604|0|493909|493909|0|790042|790042|0|1088025|1088025|
1000000284|2787610|2557176|5344786|6560353|5495454|12055807|10532176|8640641|19172817|15084793|12379125|27463918|5080428|4206616|9287044|11418136|9311313|20729449|17685638|14166426|31852064|23370887|19075141|42446028|4825217|4252418|9077635|8783229|8113997|16897226|13510566|12386215|25896781|18970399|16756295|35726694|5062744|4245745|9308489|10195912|8683415|18879327|15141662|12578288|27719950|19951792|16685239|36637031|4955602|4034931|8990533|9385173|7653864|17039037|14056545|11397859|25454404|18921786|15325171|34246957|
1000000286|2869161|201091|3070252|0|0|0|8600729|621825|9222554|14080273|865336|14945609|3718013|233723|3951736|7183091|471227|7654318|12328026|713667|13041693|18634541|954868|19589409|4140138|235724|4375862|7808529|474542|8283071|12340675|705977|13046652|19672473|932817|20605290|4128950|204628|4333578|8469273|419574|8888847|13988182|585724|14573906|20409368|791387|21200755|4778143|204697|4982840|8504818|412597|8917415|13679172|607675|14286847|21075542|821061|21896603|
1000000288|372|60162|60534|616|115646|116262|712|170949|171661|2078|199694|201772|909|47656|48565|1526|97693|99219|2240|150706|152946|3439|202517|205956|1165|56730|57895|1422|111045|112467|1825|164306|166131|2131|228486|230617|103|63237|63340|536|126873|127409|801|197798|198599|1015|263093|264108|446|59868|60314|649|114480|115129|856|166323|167179|1755|213488|215243|
1000000348|7362|80409|87771|15436|174201|189637|25705|263203|288908|41008|375174|416182|20524|82826|103350|21603|181667|203270|32978|289448|322426|52822|409780|462602|19664|113524|133188|40281|254902|295183|63321|380891|444212|0|607715|607715|0|147537|147537|63890|214491|278381|87604|296513|384117|105007|395377|500384|30591|83499|114090|57392|171839|229231|85148|254986|340134|99948|352725|452673|
1000000475|0|2404300|2404300|0|5181793|5181793|0|7762130|7762130|0|10725192|10725192|0|2970335|2970335|0|6359420|6359420|0|9725097|9725097|0|13653948|13653948|0|3100158|3100158|0|6493191|6493191|0|9419037|9419037|0|13288745|13288745|0|2392857|2392857|0|5057847|5057847|0|7831097|7831097|0|12394024|12394024|0|3094476|3094476|0|6211741|6211741|0|9576057|9576057|0|13333055|13333055|
1000000551||||||||||0|0|0||||||||||0|0|0||||||||||||||||||||||0|19964|19964||||||||||0|22924|22924|
1000000823||||||||||0|198476|198476||||||||||0|239723|239723||||||||||||||||||||||0|24428|24428||||||||||0|243393|243393|
1000000860||||||||||||||||||||||||||||||||||0|101015|101015|||||||||||||||||||||||||
1000000896|0|61844|61844|29419|93230|122649|40252|134736|174988|0|265893|265893|22934|39311|62245|47668|83977|131645|64005|130484|194489|80743|172166|252909|14855|31366|46221|31516|85053|116569|45911|111296|157207|64579|146734|211313|14128|28722|42850|28563|70769|99332|40523|109169|149692|54824|154343|209167|15961|22708|38669|40091|61683|101774|51481|95094|146575|69503|141889|211392|
1000001083|0|73022|73022|0|160334|160334|0|236133|236133|0|317864|317864|0|90274|90274|0|178704|178704|0|270779|270779|0|374440|374440|0|99050|99050|0|193141|193141|0|270742|270742|0|358052|358052|0|70115|70115|0|140966|140966|0|202078|202078|0|355118|355118|0|62105|62105|0|147391|147391|0|212123|212123|0|289587|289587|
1000001129||||||||||0|92369|92369||||||||||0|98986|98986||||||||||0|117058|117058||||||||||0|159896|159896|||||||||||||
1000001138||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|97678|97678|
1000001170||||||||||||||||||||||||||||||||||||||||||||||0|7714|7714||||||||||0|4329|4329|
1000001483||||||||||0|25320|25320||||||||||0|25555|25555||||||||||0|51638|51638||||||||||0|57364|57364|||||||||||||
1000001501||||||||||||||||||||||||||||||||||0|35944|35944||||||||||0|32244|32244||||||||||0|27869|27869|
1000001569||||||||||||||||||||||||||||||||||||||||||||||0|6269|6269|||||||||||||
1000001573||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|8397|8397|
1000001665|0|3511|3511|0|8202|8202|0|12639|12639|0|17449|17449|0|4598|4598|0|9932|9932|0|15063|15063|0|21817|21817|0|5404|5404|0|13040|13040|0|19795|19795|0|26875|26875|0|7467|7467|0|14832|14832|0|22436|22436|0|30611|30611|0|6820|6820|0|14495|14495|0|21180|21180|0|28161|28161|
1000001814|0|8658|8658|146|21071|21217|454|31676|32130|486|42795|43281|15|9324|9339|154|19826|19980|154|30450|30604|186|44557|44743|0|13708|13708|0|29734|29734|0|41502|41502|275|54755|55030|232|14068|14300|232|30305|30537|232|45346|45578|7691|57733|65424|1376|15637|17013|3889|32809|36698|5928|45410|51338|7869|59735|67604|
1000001845|0|442714|442714|0|810599|810599|0|1400619|1400619|0|1975595|1975595|0|831432|831432|0|1507163|1507163|0|2556573|2556573||||||||||||||||||||||||||||||||||||||||
1000001856|203496|1072921|1276417|543534|2400561|2944095|1005799|3639375|4645174|1486286|4985678|6471964|351344|1310514|1661858|888997|2879869|3768866|1310502|4198960|5509462|1645458|5211418|6856876|303413|1208519|1511932|489131|2297017|2786148|751583|3296087|4047670|1042124|4392639|5434763|303716|1213052|1516768|702114|2427374|3129488|1261196|3610722|4871918|1804533|4644340|6448873|363368|1009969|1373337|763751|2093940|2857691|1203157|3068747|4271904|1516514|4060103|5576617|
1000001861|430|9534|9964|5|2050|2055|24|3909|3933||||210|8963|9173|56|1889|1945|66|3603|3669|78|5491|5569|290|8364|8654|14|1817|1831|21|3288|3309|31|5084|5115|1656|6474|8130|9|1646|1655|9|1655|1664|9|1670|1679|9|1683|1692|5|3076|3081|16|4453|4469|26|7851|7877|
1000001867|28600|37990|66590|67181|75253|142434|112324|87816|200140|65732|197214|262946|19989|36727|56716|33604|88040|121644|52150|128148|180298|100992|146881|247873||||63242|74459|137701|95091|107933|203024|123097|150550|273647|34380|32461|66841|61334|71192|132526|92593|102831|195424|121550|142449|263999|27804|32481|60285|59463|68515|127978|84004|103436|187440|96425|145579|242004|
1000001890||||||||||0|1345421|1345421||||||||||||||||||||||0|1765300|1765300|||||||||||||||||||||||||
1000001894||||||||||0|11543|11543||||||||||0|10786|10786||||||||||0|7883|7883||||||||||0|7806|7806|||||||||||||
1000002075||||||||||0|25184|25184|||||||||||||||||||||||||||||||||||||||||||||||||
1000002112||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|22385|22385|
1000002169||||||||||0|5765|5765||||||||||||||||||||||0|5980|5980||||||||||0|4488|4488|||||||||||||
1000002236||||||||||0|412144|412144||||||||||||||||||||||0|403827|403827||||||||||0|423285|423285||||||||||0|457560|457560|
1000002254|0|112249|112249|0|225490|225490|0|346531|346531|0|468004|468004|0|126061|126061|0|260535|260535|0|396607|396607|0|535783|535783|0|142719|142719|0|287210|287210|0|432691|432691|0|592960|592960|0|145328|145328|0|296883|296883|0|453036|453036|0|603899|603899|0|153299|153299|0|309308|309308|0|469832|469832|0|622234|622234|
1000002328||||||||||0|46486|46486||||||||||0|39956|39956||||||||||0|52087|52087||||||||||0|82034|82034|||||||||||||
1000002353|29715|34109|63824|59867|68485|128352|88660|95484|184144|118369|126784|245153|26739|38160|64899|62332|69968|132300|104447|91736|196183|150352|131322|281674|34407|29973|64380|76140|69796|145936|124412|106341|230753|176961|142738|319699|42241|32065|74306|101143|68587|169730|167336|107502|274838|225418|147629|373047|49987|39833|89820|121541|78540|200081|195706|110273|305979|276247|148863|425110|
1000002465|0|52575|52575|0|105037|105037|3205|151115|154320|4530|202061|206591|74|36643|36717|158|88578|88736|0|170697|170697|0|227501|227501|0|62820|62820|0|120618|120618|0|178171|178171|2623|230862|233485|538|60631|61169|994|117093|118087|1429|171617|173046|2204|225964|228168|376|59833|60209|540|114407|114947|694|170198|170892|894|220022|220916|
1000002468||||||||||0|7832|7832||||||||||0|8641|8641||||||||||0|8567|8567|||||||||||||||||||||||||
1000002487||||||||||0|75096|75096||||||||||0|71835|71835||||||||||0|69026|69026||||||||||0|73892|73892|||||||||||||
1000002552|0|683225|683225|0|1547002|1547002|0|2471796|2471796|0|3572433|3572433|0|934386|934386|0|2059615|2059615|0|3431743|3431743|0|5014124|5014124|0|1097731|1097731|0|2068008|2068008|0|3072245|3072245|0|4207453|4207453|0|951731|951731|0|1975544|1975544|0|3012379|3012379|0|4187615|4187615|0|1098096|1098096|0|2178382|2178382|0|3188635|3188635|0|4230321|4230321|
1000002607||||||||||||||||||||||||||||||||||||||||||||||0|44739|44739||||||||||0|45818|45818|
1000002712||||||||||||||||||||||||||||||||||||||||||||||0|3064|3064||||||||||0|2736|2736|
1000002718||||||||||0|1596|1596||||||||||0|1020|1020||||||||||0|1374|1374|||||||||||||||||||||||||
1000002724||||||||||0|7672|7672||||||||||0|6904|6904|||||||||||||||||||||||||||||||||||||
1000002794|0|10475|10475|0|20072|20072|0|38573|38573|0|59462|59462|0|11336|11336|0|28622|28622|0|42533|42533|0|59152|59152|0|8368|8368|0|17188|17188|0|25971|25971|27|41654|41681|0|9429|9429|0|20570|20570|0|32689|32689|0|48786|48786|0|16884|16884|9|36448|36457|34|50988|51022|54|64764|64818|
1000002829|0|21287|21287|0|45299|45299|0|65382|65382|0|79435|79435|0|19051|19051|0|40192|40192|0|56428|56428|0|64468|64468|0|8691|8691|0|19640|19640|0|29330|29330|0|36041|36041|0|8709|8709|0|19438|19438|0|29377|29377|0|36491|36491|0|8379|8379|0|18140|18140|0|27463|27463|0|34591|34591|
1000002889|0|288672|288672|0|347996|347996|0|428714|428714|0|790956|790956|0|144438|144438|0|254458|254458|0|376905|376905|0|563436|563436|0|67630|67630|0|338541|338541|0|396462|396462|0|479676|479676|0|50603|50603|0|122474|122474|0|185177|185177|0|870877|870877|0|90681|90681|0|228202|228202|0|330805|330805|0|445824|445824|
1000002929||||||||||0|6448|6448|||||||||||||||||||||||||||||||||||||||||||||||||
1000002971|2289|5260|7549|4316|29079|33395|7073|49886|56959|2246|75198|77444|504|9231|9735|1117|26431|27548|1519|42579|44098|1979|58543|60522|963|8648|9611|2451|16660|19111|3625|32961|36586|2396|49059|51455|11182|7913|19095|29469|18080|47549|40942|27395|68337|62549|42352|104901|20363|9721|30084|47430|22256|69686|66351|38313|104664|94825|47133|141958|
1000003055||||||||||||||||||||||0|1543|1543||||||||||0|1543|1543||||||||||0|10060|10060|||||||||||||
1000003069||||||||||0|3231|3231||||||||||||||||||||||0|2732|2732||||||||||||||||||||||0|3452|3452|
1000003085||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|3938|3938|
1000003205||||||||||0|11623|11623||||||||||0|11932|11932||||||||||0|12322|12322||||||||||0|11201|11201||||||||||0|12969|12969|
1000003326||||||||||0|36127|36127||||||||||0|58058|58058||||||||||||||||||||||0|46646|46646|||||||||||||
1000003332||||||||||0|8112|8112||||||||||0|8612|8612||||||||||0|10981|10981||||||||||0|14257|14257|||||||||||||
1000003352||||0|141948|141948||||0|270999|270999||||0|135739|135739||||0|273783|273783||||0|135236|135236||||0|260614|260614||||0|120325|120325||||0|224968|224968||||0|108461|108461||||0|225340|225340|
1000003358||||||||||0|2198|2198||||||||||0|3549|3549||||||||||0|1106|1106||||||||||0|1106|1106|||||||||||||
1000003377||||||||||0|14006|14006|||||||||||||||||||||||||||||||||||||||||||||||||
1000003442||||||||||0|62018|62018||||||||||0|49554|49554||||||||||0|41467|41467||||||||||0|52356|52356||||||||||0|58006|58006|
1000003538||||||||||0|9713|9713||||||||||0|9713|9713||||||||||0|10179|10179|||||||||||||||||||||||||
1000003543|0|6178109|6178109|0|12487327|12487327|0|19341413|19341413|0|26289228|26289228|0|6979894|6979894|0|14496505|14496505|0|22508440|22508440|0|30079513|30079513|0|7071159|7071159|0|14290585|14290585|0|21734034|21734034|0|29023473|29023473|0|7215961|7215961|0|14454635|14454635|0|21868913|21868913|0|29359082|29359082|0|7208471|7208471||||0|21885147|21885147|0|27342589|27342589|
1000003787||||||||||0|415689|415689||||||||||||||||||||||0|444075|444075|||||||||||||||||||||||||
1000003871||||||||||||||||||||||||||||||||||0|5200|5200|||||||||||||||||||||||||
1000004046||||||||||0|7310|7310||||||||||0|11758|11758||||||||||||||||||||||0|7253|7253||||||||||0|4972|4972|
1000004070||||||||||0|1059|1059||||||||||0|1030|1030|||||||||||||||||||||||||||||||||||||
1000004156||||||||||||||||||||||||||||||||||||||||||||||0|3905|3905||||||||||0|3346|3346|
1000004195|0|8425|8425|0|24711|24711|2562|44925|47487|945|99537|100482|0|12861|12861|4462|38607|43069|0|58547|58547|0|99119|99119|0|18834|18834|0|40564|40564|0|54479|54479|0|99261|99261|0|17275|17275|0|31960|31960|0|58801|58801|0|110083|110083|0|15775|15775|0|38412|38412|0|61669|61669|0|103816|103816|
1000004353||||||||||||||||||||||||||||||||||0|10063|10063|||||||||||||||||||||||||
1000004366||||||||||0|7852|7852||||||||||0|8079|8079||||||||||0|11224|11224||||||||||0|10738|10738||||||||||0|8646|8646|
1000004514||||||||||0|13971|13971|||||||||||||||||||||||||||||||||||||||||||||||||
1000004733||||||||||0|3585|3585||||||||||0|4607|4607||||||||||0|5448|5448||||||||||0|6626|6626||||||||||0|7964|7964|
1000004829|0|74581|74581|0|175667|175667|0|275403|275403|0|395278|395278|0|108592|108592|0|86242|86242|0|142769|142769|0|200336|200336||||0|128502|128502|0|204782|204782|0|275728|275728|0|69759|69759|0|139980|139980|0|221558|221558|0|292156|292156|0|62668|62668|0|133331|133331|0|218734|218734|0|298362|298362|
1000005339||||||||||||||||||||||0|3600|3600|||||||||||||||||||||||||||||||||||||
1000005882||||||||||0|24844|24844|||||||||||||||||||||||||||||||||||||||||||||||||
1000006032||||||||||||||||||||||0|12947|12947||||||||||0|17500|17500|||||||||||||||||||||||||
1000006078|2160|6665|8825|4162|17111|21273|5051|32099|37150|10139|43188|53327|1885|12254|14139|4690|29530|34220|6895|42524|49419|9539|57453|66992|2366|14677|17043|4130|35759|39889|5896|49755|55651|8320|60794|69114|2035|11478|13513|3302|33174|36476|4301|45527|49828|5814|57075|62889|1467|15315|16782|2815|31011|33826|3884|46639|50523|5185|61977|67162|
1000006205||||1137|4985|6122|1238|8398|9636|1439|13601|15040|563|3653|4216|1289|7519|8808|1495|12250|13745|1623|18855|20478|277|6241|6518|833|11003|11836|1188|15884|17072|1472|22802|24274|334|4720|5054|424|8258|8682|501|19314|19815|924|35882|36806|318|14161|14479|1191|32153|33344|2260|45446|47706|3874|59342|63216|
1000006493||||||||||||||||||||||0|1758|1758||||||||||0|1890|1890|||||||||||||||||||||||||
1000006600||||||||||||||||||||||0|10197|10197||||||||||||||||||||||||||||||||||0|15706|15706|
1000006832||||||||||0|11558|11558||||||||||||||||||||||||||||||||||0|9443|9443||||||||||0|9479|9479|
1000007064||||||||||0|93278|93278|||||||||||||||||||||||||||||||||||||||||||||||||
1000007077|26262|7760|34022|48997|16488|65485|73279|25209|98488|100418|33065|133483|23364|7202|30566|45408|14585|59993|64105|20607|84712|40828|26584|67412|8940|7597|16537|18489|15317|33806|27254|23937|51191|36797|29312|66109|6325|6516|12841|13730|15022|28752|19639|23599|43238|22456|31371|53827|4708|7428|12136|11405|15973|27378|16830|23266|40096|22542|27564|50106|
1000007240||||||||||0|7110|7110|||||||||||||||||||||||||||||||||||||||||||||||||
1000007429||||||||||||||||||||||0|113369|113369|||||||||||||||||||||||||||||||||||||
1000007471||||||||||0|19460|19460||||||||||0|23171|23171||||||||||0|28079|28079|||||||||||||||||||||||||
1000007484|37129|64367|101496|84601|135889|220490|131322|207392|338714|174688|300188|474876|46303|81550|127853|95731|164450|260181|144442|237442|381884|191929|315629|507558|43759|67702|111461|81232|142077|223309|119331|218385|337716|159483|299034|458517|42004|68655|110659|83865|139232|223097|125308|218026|343334|176302|321071|497373|47972|75407|123379|91432|146692|238124|135559|213948|349507|174010|273105|447115|
1000007545||||||||||0|13000|13000||||||||||0|15290|15290||||||||||0|16350|16350||||||||||0|13418|13418|||||||||||||
1000007579||||||||||||||||||||||||||||||||||388|6109|6497|||||||||||||83|2099|2182|106|3575|3681|321|7547|7868|416|9489|9905|
1000007759||||||||||||||||||||||0|3557|3557|||||||||||||||||||||||||||||||||||||
1000007865||||||||||||||||57798|23044|80842||||114496|59318|173814||||6165|11272|17437||||125527|37218|162745||||61231|21477|82708||||116284|47909|164193||||54897|19445|74342|||||||
1000007913||||||||||||||||||||||0|8118|8118|||||||||||||||||||||||||||||||||||||
1000007936||||||||||0|23435|23435|||||||||||||||||||||||||||||||||||||||||||||||||
1000008008||||||||||||||||||||||0|52795|52795||||||||||0|46206|46206||||||||||0|33693|33693|||||||||||||
1000008203|0|10233|10233|0|19522|19522|0|28116|28116|0|36933|36933|0|9735|9735|0|19485|19485|0|30792|30792|0|40890|40890|0|10671|10671|0|22890|22890|0|35190|35190|||||||||||||0|70558|70558||||||||||1|72777|72778|
1000008277||||||||||0|43411|43411|||||||||||||||||||||||||||||||||||||||||||||||||
1000008329||||||||||0|2188|2188||||||||||0|2094|2094||||||||||0|2044|2044|||||||||||||||||||||||||
1000008561||||||||||0|4259|4259||||||||||0|3549|3549||||||||||0|3515|3515||||||||||0|3632|3632||||||||||0|3500|3500|
1000009068||||||||||0|8918|8918|||||||||||||||||||||||||||||||||||||||||||||||||
1000009099|0|59209|59209|0|120080|120080|0|185432|185432|0|252728|252728|0|67180|67180|0|146971|146971|0|236755|236755|0|320552|320552|0|74848|74848|0|158179|158179|0|250299|250299|0|339612|339612|0|79971|79971|0|165265|165265|0|252943|252943|0|332788|332788|0|76559|76559|0|163630|163630|0|266916|266916|0|368890|368890|
1000009103||||0|10296|10296|0|16924|16924|0|23021|23021|0|2899|2899|0|11584|11584|0|11584|11584|0|25700|25700|0|3132|3132|0|11298|11298|0|18157|18157|0|24138|24138|0|2915|2915|0|11465|11465|0|18643|18643|0|24357|24357|0|2286|2286|0|10480|10480|0|17653|17653|0|23596|23596|
1000009217||||||||||||||||||||||0|30019|30019||||||||||||||||||||||0|43107|43107||||||||||0|51265|51265|
1000009503|0|1869026|1869026|0|3721093|3721093|0|5425294|5425294|0|7351424|7351424|0|1980181|1980181|0|4086917|4086917|0|6282472|6282472|0|8627728|8627728|0|2340365|2340365|0|4769455|4769455|0|7096808|7096808|0|9559328|9559328|0|2404648|2404648|0|4964542|4964542|0|7463103|7463103|0|9998723|9998723|0|2617326|2617326|4485755|989767|5475522|0|8181219|8181219|0|10883728|10883728|
1000009721|48956|26276|75232|107924|59849|167773|175501|96194|271695|237126|129127|366253|79650|30926|110576|167044|58547|225591|265101|86557|351658|366805|111020|477825|96489|24711|121200|197468|52212|249680|321399|82910|404309|430910|108943|539853|121686|26222|147908|205470|56508|261978|272538|81353|353891|327870|104961|432831|79940|23560|103500|161064|45132|206196|236127|70238|306365|313073|95161|408234|
1000009853||||||||||||||||||||||||||||||||||||||||||||||7021|34067|41088|2294|8035|10329|4079|9612|13691|4225|14723|18948|4368|27852|32220|
1000009989||||||||||0|15934|15934||||||||||0|16803|16803||||||||||0|17165|17165||||||||||0|17698|17698|||||||||||||
1000010125||||||||||||||||||||||0|0|0||||||||||||||||||||||||||||||||||0|34642|34642|
1000010286||||||||||0|2081|2081||||||||||0|3266|3266||||||||||0|3324|3324||||||||||0|3908|3908|||||||||||||
1000010301||||||||||0|9000|9000||||||||||||||||||||||0|9000|9000|||||||||||||||||||||||||
1000010334||||||||||0|28868|28868||||||||||0|29264|29264||||||||||0|29985|29985||||||||||0|22034|22034||||||||||0|22865|22865|
1000010386||||||||||0|6519|6519||||||||||||||||||||||||||||||||||0|8784|8784|||||||||||||
1000010674||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||||||||||||
1000010684|2485|1905|4390|4789|5070|9859|8600|7130|15730|10527|10795|21322|612|4653|5265|4631|7290|11921|9058|8285|17343|11331|10587|21918|2855|2462|5317|5363|3878|9241|7386|5644|13030|9433|6667|16100|2950|1465|4415|6337|2525|8862|8464|3333|11797|8814|4171|12985|1997|1278|3275|4406|2203|6609|6882|2892|9774|9442|3781|13223|
1000010784||||||||||||||||||||||||||||||||||||||||||||||0|33085|33085|0|5132|5132|0|9003|9003|0|15550|15550|0|22099|22099|
1000010875||||||||||0|11346|11346||||||||||0|13608|13608||||||||||0|13608|13608|||||||||||||||||||||||||
1000010942||||||||||0|18808|18808||||||||||0|24557|24557||||||||||0|24557|24557|||||||||||||||||||||||||
1000010957||||||||||0|1604|1604||||||||||0|1958|1958||||||||||0|1028|1028|||||||||||||||||||||||||
1000010989||||||||||0|8268|8268||||||||||0|8985|8985||||||||||0|8385|8385||||||||||0|10822|10822||||||||||0|8697|8697|
1000011134||||||||||0|4467|4467|||||||||||||||||||||||||||||||||||||||||||||||||
1000011305||||||||||||||||||||||||||||||||||0|4190|4190||||||||||0|467|467|||||||||||||
1000011317||||||||||||||||||||||0|0|0||||||||||0|0|0|||||||||||||||||||||||||
1000011410||||||||||||||||||||||0|13503|13503|||||||||||||||||||||||||||||||||||||
1000011436||||||||||0|60574|60574|||||||||||||||||||||||||||||||||||||||||||||||||
1000011495||||||||||||||||||||||||||||||||||||||||||||||0|10885|10885|||||||||||||
1000011563|0|56390|56390|0|130165|130165|0|203193|203193|0|295671|295671|0|78521|78521|0|174243|174243|0|258271|258271|0|358312|358312|0|97110|97110|0|223375|223375|0|352091|352091|0|436092|436092|0|85351|85351|0|157324|157324|0|217468|217468|0|277180|277180|0|36595|36595|0|60903|60903|0|83637|83637|0|112122|112122|
1000011962||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|20163|20163|
1000011994||||||||||0|1284|1284||||||||||0|1454|1454||||||||||0|1108|1108|||||||||||||||||||||||||
1000011998||||||||||0|21800|21800||||||||||0|21871|21871||||||||||0|20801|20801||||||||||0|22943|22943|||||||||||||
