V_BZNO|KIS_LS_FNA_MKS_2021|KIS_LS_FNA_MKS_2022|KIS_LS_FNA_MKS_2023|KIS_LS_FNA_MKS_2024|KIS_LS_FNA_MKS_2025|
가상_사업자번호|최종재무평점_2021|최종재무평점_2022|최종재무평점_2023|최종재무평점_2024|최종재무평점_2025|
1000022574|4||4|||
1000022576|9|9|8|8||
1000022601|||7|6|7|
1000022613|||6||6|
1000022631|6|5|4|4||
1000022632|6|5|6|5||
1000022647|4|5|4|4||
1000022653|5|5|4|5|6|
1000022656|6|5|5|5||
1000022662|6|6|6|6|6|
1000022705|6|6|7|8|7|
1000022718|3|3|3|4|4|
1000022741||5|5|6||
1000022747|5|4|3|4|4|
1000022748|4|4|4|4|4|
1000022751|9|10||||
1000022762|5|6||||
1000022785|||6|6||
1000022791|6|8|8|8|8|
1000022796|6|5|5|6||
1000022839|7|6|8|8|8|
1000022840|4|4|4|4|6|
1000022857||4||4|4|
1000022898|4|4|4|4|4|
1000022927|8|7|8|8|8|
1000022930|5|5|6|5|5|
1000022974|4|4||||
1000023031|5|6|8|8|8|
1000023033|4|4|4|4|4|
1000023036|5|5|4|5||
1000023049|5|6|6|5|5|
1000023065|4|4|4|||
1000023087|6|5||6||
1000023093|6|6||8||
1000023094|3|4|3|4|4|
1000023142||8|7|10||
1000023145|5|4|5|5|8|
1000023154|6|5|6|6|7|
1000023176|3|4|4|4||
1000023179|5|5|6|6||
1000023197|6|4|6|5|6|
1000023204|4|4|6|||
1000023226|5|4|5|4||
1000023230|5|4|4|4||
1000023258|7|8|8|8|7|
1000023373|5|6|5|6|6|
1000023385|||5|||
1000023393|4|4|4|4||
1000023396||9||9|9|
1000023431|6|5|7|6||
1000023453|5|5|7|6|5|
1000023458|7|4|5|4|4|
1000023465|4|4|4|4|3|
1000023496|5|5|4|4|4|
1000023535||6||||
1000023558||6|4|5||
1000023576|6|5|7|5|4|
1000023578|5|5|7|6||
1000023583||8||6||
1000023595|6|7|8|6|5|
1000023596||5||4||
1000023600|5|5||4||
1000023624|7|6|7|7||
1000023698|8|7|7|7|7|
1000023708||6|5|5||
1000023713|2|2|2|3|4|
1000023729|7|8|8|7|7|
1000023731|4||4|4||
1000023734|||5|5||
1000023736|7|6|7|8|7|
1000023794||6|4|6||
1000023837|4||4|4||
1000023865|4|4|4|4||
1000023898|5|6|5|5||
1000023902|5|||5||
1000023933|4|5||||
1000023947|8||7|8|7|
1000023955|5|5|5|5|5|
1000024014||6|5|||
1000024016|4|5|5|4||
1000024018|8|8|8|8|8|
1000024025|6|5|4|5|6|
1000024037|8|8|8|8|8|
1000024080|3|3|3|3|4|
1000024117||6||||
1000024156|6|5|5|6|6|
1000024208||6|6|8|9|
1000024210|5|6|6|5||
1000024212||8|9|9||
1000024257||5|4|||
1000024279|2|5|5|6|6|
1000024287|6|7|7|8|8|
1000024307|8|||||
1000024342|6|6|5|5|5|
1000024349|6|6|6|6||
1000024360|6|4|5|8|6|
1000024371|6|7|9|||
1000024379|6|4|3|3||
1000024400|9|9||||
1000024406|9|8|9|8|6|
1000024409|9|10|10|||
1000024416|6|6|5|||
1000024442|5|5|6|5|5|
1000024457||4|4|||
1000024461||5||4||
1000024494|5|6|7|6|6|
1000024522|6|8|8|9||
1000024532|6|6|6|6|5|
1000024534|8|6|5|||
1000024634|4|4|4|3||
1000024673|||6|||
1000024674|3|4|4|3|4|
1000024675|7|9|9|10||
1000024680|7|8|8|10|10|
1000025053|6|6|5|6||
1000013147|8|10||||
1000018150|6|8|10|||
1000024838|6|6|6|6|6|
1000024862|8|7|7||6|
1000024864||8||||
1000024969|5|||4||
1000025042|4|4|6|6|4|
1000025060|4|4|5|5|5|
1000025103|9|8|9|9|9|
1000025124|6||9|||
1000025193|4|5|5|4|5|
1000025268|5|4|5|5|4|
1000025360|9|7||||
1000006782|5|7|10|||
1000018129||4|5|||
1000018132||7||7||
1000008148|5||4|4|4|
1000025982|8|9|8|8|9|
1000009965|7|6||6||
1000007016|8|||||
1000026190|9|||||
1000026275|5|5||||
1000026067|4||4|4||
1000026068|9|9|10|||
1000025649|4|5|4|4|4|
1000015686|6|5|5|5||
1000026740|6|10||||
1000022890|7|7|7|7|7|
1000022893|6|7|7|7||
1000020881|5|5|5|5|5|
1000022570|8|10||||
1000023269|4|4|4|4|4|
1000025518|10|||||
1000024783|6|6|6|6||
1000026891|6|7|6|6||
1000014071|4|4||4|4|
1000025811||4|5|8|7|
1000025925|||5|5||
1000025828|6|6|7|7|8|
1000019281|8|8|9|||
1000021073|6|9|6|6|6|
1000026167||5|7|7||
1000015275|6|6|8|9|8|
1000011215|6|6|6|5||
1000026428|5||4|4||
1000007890|6|8|8|7|8|
1000026539|10|10||||
1000026542|6|5|5|6|6|
1000026546||6||6|5|
1000013777|7||9|9||
1000010650|7|7|7|6|6|
1000026385|8|8|8|7|6|
1000006739|6|8||||
1000026157|4|6|5|6||
1000026776|6|||7||
1000023330|6|5|8|7||
1000023334|7||6|6||
1000019292|7|9|10|||
1000019298|8|8|8|9|9|
1000025345|7|6|6|6||
1000025698|5|5|6|8||
1000010562|4|6|5|6|7|
1000005558|8|8||||
1000005560||||3|3|
1000026334|6|7||||
1000025869|3|5|6|6|7|
1000026436|5|6|8|8|8|
1000026438|8|8||5||
1000026020|6|5|5|6|6|
1000025854|5|6|6|4||
1000025322|5|6|7|8|7|
1000024802|6|5|5|6|7|
1000025379|6|7|9|9||
1000024575|5|6|6|8||
1000024940|6||6|||
1000024943|8|6|6|10||
1000015326|4|4|8|||
1000026486|4|5|5|5|9|
1000022461|8|8|8|8|8|
1000022349|4|5||4|4|
1000019688|6|8|7|5||
1000019693|6|6|6|6|6|
1000026719|9|8|8|8|9|
1000007874|4|5|5|4||
1000026685|8|6|6|4||
1000016349|6|7|6|7|8|
1000025212||7||||
1000025935|3|5|4|8||
1000014221|8|8|10|||
1000023006|6|6|6|6||
1000005487|5|4|5|5||
1000005250|4|3|3|5|6|
1000020109|5|5|4|||
1000027070|8|||||
1000027071|7|9|9|||
1000005489|4||5|4|4|
1000025732|5|4|4|4|4|
1000026041||5||6||
1000025282||4|5|5||
1000025857||4|4|4||
1000025428|6|6|6|6||
1000026287|8|7|6|||
1000026058|5|7|6|6||
1000027132|3|3||||
1000021900|10|||||
1000027204|6|6|7||6|
1000015420|4|4|4|5||
1000026394|5|8|7|6|6|
1000009349|6|8|7|7|6|
1000027271|5|5||||
1000020891||6|5|||
1000025263||8|7|5||
1000025047|4|||||
1000025356|6|6|8|6||
1000025494|5|6|6|8|9|
1000026265|8|6||6||
1000005309|10|||||
1000024296|4|4|4|5|4|
1000025454|||6|6||
1000007883|6|5|6|||
1000008373||6|8|9||
1000025039|5|6|8|6|6|
1000025449|4|5|5|6|6|
1000019258|6|4|5|4|4|
1000019265|7||8|6|6|
1000015343|4|4|5|5|5|
1000013794|5|5|4|4||
1000005357|6|5||6||
1000024913|6|5|6|6|6|
1000026007|6|6|7|6|6|
1000027531|6|6|6|6|4|
1000026598|6|7|9|||
1000026599|||4|||
1000025504|8||8|7||
1000024897||6|6|7|7|
1000024904|6|6|10|||
1000024886|6|5|6|5||
1000026318|8||6|6|6|
1000021142|4|4|8|8||
1000026501|6|6|5|5||
1000025638|9|9||||
1000027694||8|8|6|8|
1000027795|7|7|7|8|8|
1000027798||4|5|||
1000026454|||5|5|5|
1000026515|7|9||||
1000026518|8|7|4|8||
1000026522|5|6|4|4||
1000024980||4|4|4||
1000026172|5|4|5|5||
1000027544|4|4|3|3|4|
1000027548|8|8|8|10|10|
1000027743|||8|8|6|
1000026678|6|5|5|5||
1000011518|5|5|4|5||
1000015764|6|6|9|||
1000021250|7|9||||
1000027347|9|8|6|5|5|
1000027349|5|7||6||
1000027116|4||4|4||
1000027913|5|4|5|8|6|
1000026226|6|3|5|6|6|
1000026013|6|6|6|6||
1000027396|6|||5||
1000025447|6|4|5|5||
1000025602|7|7|8|8||
1000028535|6|5|8|8|8|
1000026127|4|4|5|4||
1000026128|4|4|5|5||
1000027990|6|6|8|8|8|
1000027028|8|5|9|8|8|
1000028917|6|6|8|5|5|
1000025906|8|8|9|8|10|
1000027834|6|7||||
1000027874||5|5|5|6|
1000024426|6|5||||
1000014080|4|8|9|4||
1000020854||4||||
1000020855|8|7|8|8|8|
1000024909|3|||4||
1000027556|5|6|6|6||
1000027237|5||8|6|6|
1000026950||4|5|4|3|
1000025093|6|5|5|5||
1000025558|6|||4||
1000028162|8|9|8|8|8|
1000027058|6|6|6|5||
1000027059|6|4|4|4|4|
1000026709|4|4|4|3||
1000028652|5|4|5|5||
1000029022|||4|6|9|
1000027126|7|7|7|7|7|
1000027189|6|6|5|6|7|
1000025668|4|4|4|4||
1000028851|8|8|8|6|5|
1000027144|5|7|10|10|10|
1000028994|6|||||
1000026808|6|5|5|6|6|
1000026789|4|5|5|5||
1000029529|3|4|4|4|4|
1000026054|6|6|7|7|7|
1000028430|6|8|6|9|8|
1000027004|4|5|4|4|3|
1000029358|6|||7||
1000028126||6||5||
1000029106|4|5|5|6|5|
1000029137|6|6|9|||
1000026133|6|4|5|6||
1000027925|5|5|5|5|5|
1000027866|6|5|5|5|5|
1000027848|6|6|6|5|6|
1000029208|8|9|8|10||
1000028106|4|4||||
1000025779|4||5|6||
1000027698|7|6||||
1000029235|6|6||||
1000029500|6|6|6|8|8|
1000028376|5|6|6|6|6|
1000027284|5|6|5|5|5|
1000026615|5|5|5|6|6|
1000026621|4|4|4|5|5|
1000028696|8|9|10|9||
1000025805|5|7|8|7|10|
1000027825|5|5|5|4|4|
1000026772|10|||||
1000008714|4|3|4|4|4|
1000029804|6|5|5|5||
1000026144|5|6|6|5|5|
1000027687|6|6|6|5|6|
1000026234|6|7|6|8|8|
1000026236|6|7|9|9|9|
1000028944|5|5|||4|
1000028667|8|8|8|6|5|
1000028985|5|||||
1000024997|7|5|7|6|6|
1000028576|4|5|4|5|5|
1000028323|7|9||||
1000015793|8|6|6|6|6|
1000028212|6|6|5|6|6|
1000028214|7|8|6|7|7|
1000026848|6|7|9|10||
1000026851|4|4|4|||
1000022609|6|4|5|6|5|
1000027157|5|6|5|6||
1000027164||6|6|5||
1000024837|6|6|6|5|7|
1000026152||5|5|||
1000029083|4|6|6|7|6|
1000028551|6|8|7|5|6|
1000029627|8|6|8|6|8|
1000029487|5|6|7|7|6|
1000028083|6|6|6|8|7|
1000021915|7|8|7|7|6|
1000030118|4|5|8|8|6|
1000027954|5|6|5|5||
1000029863|4|4|4|4||
1000027381|6|6|6|8|9|
1000025576|6|7||6||
1000028557|6|4|4|6|7|
1000028750|4||4|4|4|
1000028752|8|8|6|6|5|
1000029285||6||5||
1000028387|8|8|8|7|6|
1000030241|4|4|4|4||
1000026400||5||5|5|
1000027050|5||5|4||
1000029734|||4|4|6|
1000028529|6|5|7|||
1000028531|4|4|5|6|5|
1000030143|6|6|7|6|6|
1000027996|5|5||6|6|
1000028069|7|7|9|10|10|
1000028070|4|4|4|4|4|
1000026062|4|3|5|5||
1000029821||5|5|5||
1000027752|5|6|3|4|4|
1000026932|6|6|6|6|6|
1000029248|||5|||
1000027068|4|5|5|6|6|
1000026305|8|6||||
1000030468|5|5||4||
1000029879||9|8|6|8|
1000031355||||6||
1000028698|5|5|5|5||
1000029867|5|6|6|8|7|
1000029833|5|5|4|4|4|
1000029836|4||3|||
1000027118|8|6|6|5|5|
1000030131|5|4|||6|
1000029392||6|6|6|6|
1000029294|3|5|5|5|6|
1000029028|8|8|8|8||
1000029206|4|5||||
1000028407||4|4|4|5|
1000029545||5|5|9||
1000029152|6||7|6|6|
1000030298||8|8|8|5|
1000030530|6|7||||
1000026594||10|10|||
1000026704|5|6|10|||
1000026217|5|6|8|9||
1000031316||8|9|10||
1000029905|6|6|8|||
1000030644|4|5|6|8|6|
1000009354|8|8|8|8|8|
1000027265|4||6|||
1000027267||8|9|9|9|
1000028120|4|4|4|5|4|
1000028123|6|7|9|||
1000029956|||5|||
1000027409|4|5|6|5||
1000026945|8|8|7|8|7|
1000029543|6|6|7|7|6|
1000030413|||6|4||
1000029988||8|8|8||
1000029994|7|7|9|8|8|
1000029038|||5|5|6|
1000029042|6|4|4|4|4|
1000030078|6|6|6|5|5|
1000029828|6|4|4|5||
1000029748|5|5|5|6|6|
1000029753|6|8|10|10||
1000030505|8|7|8|5||
1000029409|6|6|8|8|6|
1000030751|6|8|6|6||
1000031231|6|8|8|6||
1000029005|5|5|7|8|9|
1000031027||6|8|6||
1000028129|5|4|5|||
1000028655|4|4|4|4|4|
1000028147|6|8|8|8||
1000029240|5|4|5|6|6|
1000029468|8|6|6|6|6|
1000028770|3|4|5|5|5|
1000029806||5|||6|
1000029345|6|4|5|5|5|
1000030034||4|4|5|5|
1000028232|5|6|8|8|8|
1000031195||||8||
1000029853|4|4|4|||
1000029429|4|6|6|6||
1000027589|8|8|8|8|9|
1000027592|5|5|6|6|6|
1000030619|7|7|9|10||
1000027915||6||||
1000027920|8|8||||
1000025775|||4|8||
1000029165|6|9||||
1000030198|4|6|4|4||
1000009680||6|6|8||
1000028912|8||8|||
1000028396|6|6|7|8|7|
1000028397|5|||7||
1000030385|5|6|6|7|7|
1000026094|8|6|8|9|8|
1000027536|5|5|6|4|5|
1000029474|||7|8||
1000025888|5|5|6|5||
1000026420|8|8|8|9|9|
1000026421|4|4|4|4||
1000027236|4|3|4|5|8|
1000030702||6||||
1000028947|7|7|8|8|8|
1000030793||5|5|5|5|
1000030514|||7|8||
1000031369||9|9|10|7|
1000030074|6|5|5|5|5|
1000030076|6|6|6|9|10|
1000030983|6|5|10|||
1000027222|4||4|||
1000029251|8|8|9|||
1000031106|||7|8|9|
1000031107|5|4|7|9|9|
1000030623||6|6|6||
1000031199||5||||
1000031284||7|6|8|6|
1000030537||6|5|5|5|
1000001102|4|4|5|4|3|
1000001108|5|5|6|6|6|
1000001156|2|2|2|2|2|
1000001157|4|4|5|5||
1000001075|4|4|5|4|4|
1000001027|4|4|3|3|4|
1000004573|5|8||||
1000024726|||||4|
1000004666|8|6|7|5||
1000026344|8|8|8|8|8|
1000027300||5|6|6|6|
1000027304|10|||||
1000014091|4|4|4|4|4|
1000028253|4|5|5|4|4|
1000028254||6|6|6|6|
1000017914|6|6|7|7|8|
1000005764|7|8|5|5|4|
1000031443||6|5|4||
1000001278|8|7|8|8|8|
1000024958|6||6|7||
1000028432|5|4|4|4||
1000030337|5|5|4|4||
1000006586|5|5|5|||
1000028875|5|8||||
1000001239|||5|||
1000016720|5|4|5|4|4|
1000017954||5|4|5|5|
1000030244|5|5|6|6|6|
1000028472|6|8|6|6||
1000028528|5|5||||
1000028624||7|9|||
1000012315|6|6|4|4||
1000018417|8|8|6|6|7|
1000018436||5|6|6||
1000018438|6|6|7|8|6|
1000031565||8|7|6|8|
1000021723|7|7|7|6|6|
1000031052|8|9|9|||
1000004729|9|9||||
1000031164||5|4|4|6|
1000007470|4|6||4||
1000004894|6|6|6|8||
1000026442|7|6|5|4|4|
1000003961|5|5|6|5|6|
1000022777|5|5|5|6||
1000013145|5||6|6|4|
1000008344|6|6|5|6|5|
1000008951|7|7|6|7||
1000012329|4|4|5|5|4|
1000004879||5|5|5||
1000014083|6|8|8|8|9|
1000030664|5|5|6|6|7|
1000018017|5|5|5|5|5|
1000004727|||6|7||
1000004214|6|6|6|6||
1000004216|7|5|7|||
1000004217|5|5|4|3|3|
1000018026|6|9||||
1000024934|5|4|4|||
1000024935|9|7|6|6|7|
1000020659|5|5|4|6||
1000020661|||5|6|5|
1000006716|7|8|8|7|9|
1000017992|4|4|||4|
1000004978|5|5|7|7|6|
1000004980|6||5||5|
1000004736||6|6|6|7|
1000006713|6|6|6|6|6|
1000005034|6|6|6|6|6|
1000006563||||5|5|
1000004743|5|8||4||
1000004791|9|7|6|9||
1000025040||6|8|8|9|
1000030725|8|9|9|8||
1000031042|5|4|6|6||
1000028597|4|4|4|4|5|
1000031638||7|8|6|7|
1000011854|7|8|8|8|8|
1000031976|8|6|8|8|8|
1000026883|5|4|6|6|6|
1000011717|3|3|4|3|4|
1000011684|6|6|6|6|6|
1000011587|2|3|4|4|3|
1000011670|||6|||
1000011611|6|6|6|||
1000008425|||6|6|8|
1000029607|6|6|6|6||
1000011656||4|4|||
1000011623|6|6||5|6|
1000031466||5|5|||
1000011759|4|||||
1000011582||4|5|5|5|
1000028611||8|9|8||
1000026715|4|5|4|5|5|
1000030888|5|5|5|5|5|
1000031055||4|4|4|4|
1000029413|7|7|8|8|8|
1000029558|||8|||
1000031849|||4|4|6|
1000031850|||8|||
1000029566|5|8||8||
1000031749||7|8|8||
1000031030|8|8|10|||
1000030849|4|4|5|5||
1000031273||9|9|9||
1000026960||4||||
1000029676|6|6|6|5||
1000031929|7|8|9|10||
1000031295||5|5|5|4|
1000031249|||8|8||
1000028532|5|6|6|6|6|
1000031501|||8|||
1000031503|5|6|7|8|7|
1000031070|||8|6|7|
1000029795||5|5|||
1000031319||5|7|7|6|
1000005717|7|7|6|||
1000031307||10|10|||
1000029773|5|||||
1000026526|6|8|9|8|6|
1000031168||8|8|9||
1000031891|||8|8|8|
1000029598|5|5|5|5|5|
1000031098||6|5|6|10|
1000028715||6|6|6||
1000028717|6|6|7|6|6|
1000029775|6|||||
1000026829|3|4|4|5|4|
1000026830|3|4|4|4||
1000031438||5|7|9|8|
1000031343||8|6|||
1000030998|5|5|6|5|5|
1000028707|5|4|5|5||
1000031416||6|5|6||
1000031363||10|8|8||
1000030841|||7|8|7|
1000031402||6|8|4|4|
1000030914|5|7||6||
1000029349|||5|4|4|
1000028036|5||5|||
1000030979|4|9||||
1000031685||7|8|||
1000030645||8|8|8|4|
1000028580|10|10||||
1000031074|4|5|5|5|5|
1000031611||4|3|4|6|
1000005919|4|3|3|3|3|
1000005911|4|||||
1000009129|5|4|4|5|5|
1000008804|4|3|5|4||
1000008454|5|6|5|5|6|
1000006821|3|2|2|3|2|
1000009123|4|4||4||
1000008448|6|5|9|10|8|
1000009582|5|6|7|9|6|
1000007552|4|4|5|4|4|
1000008783|6|6|6|6|6|
1000005947|5|6|6|6|6|
1000009690|||6|5||
1000008490|||4|4|4|
1000007576||8||||
1000005930|5|5||5||
1000008740|5|6|6|6|7|
1000006853|8|6|6|6||
1000009146|10|10||||
1000006879|3|4|4|||
1000009138|7|6|6|6|6|
1000005922|4|3||||
1000008819||4||3||
1000024650|6||6|6|6|
1000010229|4|4|4|4||
1000008666|6|4|4|6||
1000008039|6|5|5|8|6|
1000009320|9|9|9|8|8|
1000010540|5|5|6|5||
1000010541||6|8|7||
1000007756|10|||||
1000024173|5|5|5|5|5|
1000024175|3|4|4|4|3|
1000024227||8|6|8|8|
1000024232|4|4|4|4||
1000006951|4|4|4|5|4|
1000031409||6|8|8|8|
1000009004|7|6|7|8|6|
1000005221||9||||
1000031939|||10|9|9|
1000030966|6|6|6|7|6|
1000009904|4|5|6|6|5|
1000031671|8|8|7|8|7|
1000010753|4|4|4|4|5|
1000010754|7|8|9|6|6|
1000007871|5|7|8|6||
1000007008|6|7|8|7|7|
1000008043|3|2|3|3|4|
1000024690||6|6|6|6|
1000025279|||6|5||
1000031617||7|9|9|8|
1000007770|6||6|5||
1000007765|7|6|6|5|7|
1000007766|||6|8|8|
1000027350|7|6||||
1000027806|7|10||||
1000027811|9|||||
1000008271|7|8|8|8||
1000024871|4|4|4|4|4|
1000027966|4|6|6|6|6|
1000027967|6|8|8|6|6|
1000031950|7|8|8|8|8|
1000028017|6|6|6|6||
1000028026||5|5|6|6|
1000028747|3|4|4|3|3|
1000027101|5|5|4|5|5|
1000005629|6|||5||
1000027606|5|4|6|5||
1000028459|||9|6||
1000027659|6|6|6|7|7|
1000027668|6|5|6|5|5|
1000029960|8|9|8|8|8|
1000030501|7|8|8|8|8|
1000024626||8|8|||
1000009255|4|||||
1000010027|3|4|5|4|4|
1000007819|8|9|10|10||
1000010357|7||8|8||
1000006976|||||7|
1000010436|8|8|10|7|5|
1000010770|6|5|8|6|7|
1000010771||6||6|6|
1000009869|6|6|6|6||
1000009870|5|8|7|7|5|
1000010076|5||6|6|6|
1000010080|4|4|4|4|4|
1000024135|5|5|4|4|5|
1000024130|4|4|4|4||
1000010145|5||8|||
1000010151|5|5|5|5||
1000024154||9|9|8|8|
1000010686|4|4|5|6|4|
1000010397|5|8|6|6||
1000009840|8|||6||
1000009841|6|5|7|7|6|
1000010527||6|5|5||
1000010529|6|6|9|9|7|
1000010302|6||||6|
1000010297|4|5|6|3|3|
1000010414||5||4||
1000010415|6|6|8|8|9|
1000010423|8|8|8|8|8|
1000024664|7|6|6|5|5|
1000014019|3|3||3|3|
1000030414|7|||6||
1000005178|4|4|4|4|4|
1000026017|6|8|8|6||
1000014055|4|5|7|8|8|
1000031952|||6|7||
1000006708|6|6|9|7|6|
1000031867|||6|5|6|
1000031989||||4|6|
1000013102||6|8|9||
1000030266|7|6|6|6|6|
1000013043|6|8||5|6|
1000006623|7|7|7|6|6|
1000029983|6|6|6|5||
1000031910|||5|4|4|
1000006653|4|5|5|4|4|
1000027442|8|6|6|8||
1000025269|6|6|6|6||
1000025270|6|6|5|6|6|
1000006695|6|5|4|4|4|
1000015203|3|4|4|4||
1000006683||9|9|9||
1000006681|3|||||
1000032041|8|7|9|8|8|
1000027850|4|4|3|3|4|
1000032104||||6||
1000031641||7|8|||
1000009727|5|6|5|5|5|
1000031213|7|6|6|8|5|
1000030686|6|6|7|8||
1000029179|4|5|5|5|6|
1000029578||8|9|||
1000009538|6|6|7|8|8|
1000009540|4|5|6|6|4|
1000031835|||6|7||
1000024844|4|5|5|6|8|
1000013101|4|4|4|4||
1000020819|4|5|6|5||
1000031459||7|8|6|7|
1000027106|5|6|8|8|9|
1000027448|6|5|5|6|6|
1000030562||6|7|7|7|
1000030565|6|6|6|6||
1000030925||||9||
1000032050||||4|4|
1000032051||||4|4|
1000031991|||6|6|7|
1000000016|6|5|6|6|7|
1000000026|4|4|4|5|5|
1000000033|6|7|6|4|4|
1000000037|4|4|5|4|3|
1000000060|7|7|6|5|6|
1000000063|5|5|6|6|6|
1000000076|4|4|3|4|4|
1000000085|6|6|5|6|6|
1000000111|3|3|3|3|3|
1000000124|4|4|4|4|4|
1000000138|3|4|3|3|3|
1000000139|4|5|4|3|3|
1000000152|||5|||
1000000183|5|6|6|6||
1000000187|4|4|4|4|5|
1000000189|4|3|3|4|3|
1000000210|6|4|4|4|4|
1000000213|8|8|9|8|8|
1000000214|9|8|8|8|8|
1000000222|4|4|4|4|4|
1000000257|7|6|6|6|6|
1000000276|5|6|6|8||
1000000290|6|5|5|4|5|
1000000315|6|5|8|10||
1000000318|5|5|4|5|4|
1000000325|4|4|4|4|4|
1000000333|4|4|4|4|4|
1000000337|6|5|5|5|5|
1000000363|4|4|4|3|4|
1000000398|4|6|5|4|5|
1000000403|8|6|4|4|4|
1000000419|6|5|5|5|5|
1000000430|8|6|6|6|5|
1000000457|6|6|6|6||
1000000459|4|3|3|3|4|
1000000465|6|5|6|6|6|
1000000474|3|3|4|4|3|
1000000509|2|3|3|3|3|
1000000520|5|5|5|4|5|
1000000530|8|||||
1000000531|6|6|7||7|
1000000545|5|3|3|4|4|
1000000556|3|4|4|3|3|
1000000565|4|3|3|2|2|
1000000575|4|3|3|4|3|
1000000592|4|4|4|||
1000000601|6|6|6||8|
1000000606|6|5|6|4|4|
1000000610|5|4|4|4||
1000000668|5|4|5|6|7|
1000000695|6|5|5|4||
1000000701|5|4|6|6|7|
1000000705|5|4||||
1000000734|6|6|6|4|6|
1000000742|5|6|5|6||
1000000753|3|4|4|4|4|
1000000756|4|3|3|3|4|
1000000768|4|8|8|||
1000000786|5|6|5|5|5|
1000000851||6|6|5||
1000000864|5|6|6|6|6|
1000000873|6|5|6|6|7|
1000000889|2|3|2|2|2|
1000000934|6|4|4|4|4|
1000000967|5|4|4|4||
1000000971|5|5|8|8|9|
1000000972|5|4|4|4|4|
1000000974|4|||||
1000000981|2|3|4|4|4|
1000000982|3|3|3|4|3|
1000000988|5|4|5|7|6|
1000000990|5|5|6|5|5|
1000001003|4|4|4|4|5|
1000001008|8|8|7|6|7|
1000001018|5|||5||
1000001019|6|6|6|7|6|
1000001040|8|8|9|10||
1000001046|6|8|8|8|8|
1000001063|6|6|7|9|8|
1000001112|5|4|4|4|5|
1000001159|||3|||
1000001223|4|4|4|4|4|
1000001250|6|6|6|6|5|
1000001292|3|3|4|3|4|
1000001330|4|4|5|5|4|
1000001342|5|6||5|5|
1000001369|4|5|4|5|4|
1000001378|4|6|4|4|4|
1000001387|7|6|6|6|6|
1000001406|6|6|5|4|4|
1000001417|2|2|2|2|2|
1000001439|3|3|4|6|3|
1000001473|4|4|4|4|4|
1000001484|6|8|7|9|9|
1000001487|5|5||5||
1000001513|4|5|4|5|4|
1000001522|3|4|4|3|3|
1000001526|4|6|4|6|6|
1000001562|4|5|4|5||
1000001587|7|7||||
1000001598|6|5|6|7|6|
1000001689|5|4|4|5||
1000001721|4|4|4|3|4|
1000001748|6|5|3|4|4|
1000001778|5|4|4|4||
1000001780|5|7||||
1000001782|4|4|4|5|5|
1000001783|4|4|5|4|4|
1000001795|5|6|6|8|8|
1000001797|4|||||
1000001799|5|4|4|4|4|
1000001802|2|3|2|3|4|
1000001806||7|7|7||
1000001817|6|7|6|5|6|
1000001831||7|10|8|8|
1000001841|3|3||4||
1000001883|3|3|3|3|3|
1000001931|4|5||5|5|
1000001935|5|5|5|4||
1000001955|5|6|5|6|5|
1000001976|4|4|5|5|5|
1000002031|4|4|4|4|4|
1000002065|8|6|6|8|8|
1000002069|6|8|8|7|8|
1000002085|6||6|7|6|
1000002086||5|4|5||
1000002108|||5|||
1000002127|6|9|9|10||
1000002140|6|||4|3|
1000002147||6||8||
1000002153|3|3|5|5|5|
1000002165|6|5|5|5||
1000002179|9|10||||
1000002190|6|6|4|6|8|
1000002209|5|4|5|4||
1000002216|5|6|5|6||
1000002229|3|4|3|3|3|
1000002266|6|6|7|6|6|
1000002279|5|5|8|8|8|
1000002282||6|8|5||
1000002292|5|8||8||
1000002313||4|3|4|3|
1000002333|4|3|4|4||
1000002334||5|5|6||
1000002342||5|7|5||
1000002355||||5||
1000002382|4|4|2|3|2|
1000002396|||7|6|6|
1000002400|6|5|8|8|9|
1000002403|10|10|8|9|8|
1000002407|6||||5|
1000002448|3|3|3|4|3|
1000002460|3|3|3|4|3|
1000002463|3|3|3|3|4|
1000002483|4|4|5|4|5|
1000002489|5|7|8|7|7|
1000002491|7||8|8|6|
1000002500|4|5|6|4|4|
1000002502|6|7|8|8||
1000002509|5|8|5|6|4|
1000002531|5|5|6|5|6|
1000002538|4|6|6|6|7|
1000002539|6|5|5|||
1000002573|4|4|4|4|4|
1000002578|3|3|4|3|3|
1000002659|5|5|5|5|4|
1000002664|||2|3|3|
1000002703|4|4|4|3|3|
1000002708|6|7|6|5|4|
1000002720|5|5|6|6|6|
1000002733|5||4|3||
1000002755|5|6|7|8|6|
1000002818|5|5|6|5|5|
1000002821|8|6|7|5|8|
1000002832|4|5|5|4|4|
1000002846|6|5|6|7|9|
1000002847|8|8|6|3||
1000002852||5|5|||
1000002863|7|7|4|8||
1000002879|5|5|4|5|6|
1000002885|6|9||||
1000002900|4|||5|4|
1000002907|8|9|8|9|9|
1000002956|6|4|6|5|5|
1000002977||3|3|3|5|
1000002982|5|5|4|||
1000003006|6|6|6|6|6|
1000003012|4|4|4|4|4|
1000003021|6|7|7|7|6|
1000003022||6|||5|
1000003027|7|8|9|8|8|
1000003046|4|4|4|5|4|
1000003051|4|7|6|8|7|
1000003053|4|5|4|4|4|
1000003066|6|5||6|6|
1000003067|5|5|5|4|4|
1000003074|5|6||||
1000003092|4|4|3|3||
