V_BZNO|KIS_LS_FNA_MKS_2021|KIS_LS_FNA_MKS_2022|KIS_LS_FNA_MKS_2023|KIS_LS_FNA_MKS_2024|KIS_LS_FNA_MKS_2025|
가상_사업자번호|최종재무평점_2021|최종재무평점_2022|최종재무평점_2023|최종재무평점_2024|최종재무평점_2025|
1000003543|4|4|4|5|5|
1000003544|8|8|9|||
1000003546|5|6|6|6|6|
1000003554|3|5||||
1000003567|8|8|8|8|8|
1000003583|8|6|8|6|6|
1000003608|5|5|5|6|8|
1000003621|4|4|3|4|3|
1000003622|5|6|6|6|7|
1000003626|||5|||
1000003642|4|||||
1000003651|||6|6||
1000003696||5|6|||
1000003709|6|6|5|4|4|
1000003714|4|4|6|6||
1000003729||9|8|||
1000003737|5|4|4|4|4|
1000003752|5|4|4|4||
1000003768|5|5|6|7|6|
1000003787|5|5|5|4|6|
1000003834|5||6|7||
1000003862|6|7|||6|
1000003865|||5|5||
1000003869|5|6|5|5||
1000003871|4|4|4|3|4|
1000003897|4|5|5|5|4|
1000003911|4|4|6|6|7|
1000003913||5|4|4||
1000003918|7|8|10|||
1000003926|3|3|3|3|3|
1000003965|6|5|5|6|5|
1000004004|7|7|7|9||
1000004009|6|5|6|5||
1000004035|4|3|4|3|3|
1000004040||||6||
1000004046|6|6||6|6|
1000004057|6|6|6|5||
1000004070|5|8||||
1000004097|5|4|4|4|3|
1000004098|5|5|5|6||
1000004099|9|9|10|||
1000004102|7|8|8|8|9|
1000004129|4|4|5|4|8|
1000004130|5|||||
1000004145|6|6|8|5||
1000004156|7|8|8|8|9|
1000004180||||4||
1000004195|4|4|4|5|4|
1000004247|5|6||8||
1000004311|||6|8||
1000004320||7|7|9||
1000004338|8|7|8|9||
1000004353|6|7|8|6|6|
1000004366|4|4|4|5|4|
1000004376|6|8|7|9|10|
1000004397|5|5|6|8||
1000004427|5|5|9|10||
1000004442|3|4|4|4||
1000004459|4|4|4|4||
1000004500|||4|||
1000004514|6|7|8|6||
1000004523|5|5|6|6|6|
1000004525|7|9|8|8|8|
1000004561|4|4||||
1000004575|6|7||4||
1000004607|4|||||
1000004661|6|5|4|6|6|
1000004713|5|5|6|8||
1000004726|6|6|6|6||
1000004731||9|8|9|7|
1000004733|3|4|4|5|5|
1000004746|5|5|5|6||
1000004781|8|8|6|6|8|
1000004799|4|||||
1000004802|6|4|5|5|4|
1000004817|6|8||6|6|
1000004825|||4|5|5|
1000004829|5|5|5|4|5|
1000004840|5|5|7|5||
1000004870|||9|9||
1000004926|3|||||
1000004949|5|6|7|7|7|
1000004951|||6|||
1000005021||6|7|5|5|
1000005053|4||5|5|5|
1000005056|6|9||||
1000005107|8|9|9|||
1000005125|6||6|8||
1000005136||4|4|3||
1000005198|5|5|6|6||
1000005257|5|8||6||
1000005302|3|3|4|4|4|
1000005331|6|6|6|7||
1000005339|4|4||||
1000005348|4|4|4|3|4|
1000025310|5|7|9|9|9|
1000005601|6|6|5|4|5|
1000005625|5|5|5|||
1000005632|6|6|7|6|6|
1000005684|4|8||||
1000005689|4|4|4|4|4|
1000005797|7|8|8|8||
1000005820|8|8|8|8|8|
1000005853|5|5|5|5||
1000005881|4|4|4|||
1000005882|8|7|6|6|6|
1000006022|5|6|8|6|7|
1000006032|5|6|6|6|6|
1000006034|||4|||
1000006038|4|4|4|4||
1000006078|6|5|6|6|8|
1000006083|||4|3||
1000006115|7|8|9|9|9|
1000006170|5|5|5|6||
1000006205|5|4|4|5|5|
1000006240|3|4|4|3|3|
1000006244|8|9|9|||
1000006249|8|10||||
1000006255|4|9||10||
1000006273|9|10|10|9||
1000006301|3|4|3|3|3|
1000006335|8|6|6|6|5|
1000006339|5||5|5|4|
1000006373|6||4|5|4|
1000006464|9|10||||
1000006471|5|8||9||
1000006489|6|8|6|||
1000006493|4|4|4|4|4|
1000006509|4|4|4|4||
1000006512|6|5|5|5||
1000006515|7|8||||
1000006556|4|5|5|5||
1000006582|4|4|||5|
1000006600|8|7|8|8|6|
1000006742|4|4||4||
1000006746||5|5|5|6|
1000006775|8|6|6|6||
1000006777|6|5|6|7|6|
1000006832|5|6|6|8|7|
1000006845|6|6|6|6||
1000006851||6|6|6||
1000006857|5|5|5|4|4|
1000006903|7|6|6|6|6|
1000006913|||9|||
1000006928|3|4|3|3|3|
1000006944|6|5|4|5|6|
1000006946|5|6|8|8|8|
1000006964|9|10|10|||
1000006974||7|8|6|6|
1000007006|4|5|8|7||
1000007023|5|5|5|5|6|
1000007030|4|6|8|8|8|
1000007064|6|6|6|5|5|
1000007068|4||4|3||
1000007077|5|4|5|6|7|
1000007082|6|4|4|5|5|
1000007123|4|6|7|6|5|
1000007126|6|6|6|6|5|
1000007144|4|||||
1000007150|3|4|4|5||
1000007165|4|4|4|4||
1000007169|8||8|8|8|
1000007236|5|4|4|4||
1000007238||5|5|||
1000007240|5|4|4|4||
1000007242|5|7|9|10||
1000007249|4|4|4|4||
1000007266|6|5|5|5|5|
1000007269|||5|||
1000007335|7|9||||
1000007383|6|6|6|6|5|
1000007401|7||8|6||
1000007425|4|5|9|10|10|
1000007429|4|6|5|6|6|
1000007430|3|3|3|3|3|
1000007458|5|6|6|9|6|
1000007460|5|4|5|8||
1000007467|6|5|5|4||
1000007471|3|3|4|3|4|
1000007484|3|4|6|6|6|
1000007494|5|6|5|5|6|
1000007545|7|7|6|6|5|
1000007579|9|9|10|8|9|
1000007582||5||4||
1000007603|9|9||||
1000007617|6|6|6|5||
1000007676|10|10||||
1000007686|3|5|4|||
1000007759|9|7|8|10|10|
1000007865|4|3|3|4|3|
1000007913|5|5|5|5||
1000007936|5|7|5|5|5|
1000007941|||4|4|5|
1000007946||||7||
1000007957||8||6||
1000007974|5|8|8|8||
1000008008|6|6|6|7|7|
1000008015||||5||
1000008100|9|8|9|10||
1000008117|8|6||||
1000008120|8|8|9|||
1000008161|7|5|8|6|7|
1000008203|5|5|6|5|5|
1000008204|8|8||5||
1000008227|5|6|5|5||
1000008251|4|4||5|5|
1000008274|8|8|8|9|10|
1000008277|6|6|6|7|6|
1000008302|7|6|6|6|6|
1000008304|7|8|8|8|8|
1000008329|5|4|5|5|5|
1000008475|5|||||
1000008508||||6||
1000008549|||7|6|6|
