V_BZNO|1_ST_DT|1_ED_DT|1_CRI_GRDNM|2_ST_DT|2_ED_DT|2_CRI_GRDNM|3_ST_DT|3_ED_DT|3_CRI_GRDNM|4_ST_DT|4_ED_DT|4_CRI_GRDNM|5_ST_DT|5_ED_DT|5_CRI_GRDNM|6_ST_DT|6_ED_DT|6_CRI_GRDNM|7_ST_DT|7_ED_DT|7_CRI_GRDNM|
가상_사업자번호|등급적용시작일자 _2020|등급적용종료일자 _2020|CRI등급_2020|등급적용시작일자 _2021|등급적용종료일자 _2021|CRI등급_2021|등급적용시작일자 _2022|등급적용종료일자 _2022|CRI등급_2022|등급적용시작일자 _2023|등급적용종료일자 _2023|CRI등급_2023|등급적용시작일자 _2024|등급적용종료일자 _2024|CRI등급_2024|등급적용시작일자 _2025|등급적용종료일자 _2025|CRI등급_2025|등급적용시작일자 _2026|등급적용종료일자 _2026|CRI등급_2026|
1000004095|20200922|20211118|B+|20220412|20220520|BB0|20220520|20230405|B+|20230405|20240503|B+|20250413|20250805|BB-|20250805|20260408|BB0|20260408|20280101|BB+|
1000004096|20200319|20210326|BB+|20210326|20220319|BB0|20220319|20230321|BB0|20230321|20240326|BB0|20240326|20250401|BB-|20250401|20260326|BBB0|20260326|20280101|BB+|
1000004097|20200414|20210420|BBB-|20210420|20220419|BB+|20220419|20230418|BBB-|20230418|20240414|BB+|20240414|20250414|BBB-|20250414|20260331|BBB-|20260331|20280101|BBB0|
1000004098|20200919|20210508|BB-|20210508|20220614|BB0|20220614|20230616|BB0|20230616|20240611|BBB-|20240611|20250606|BB+|20250606|20270101|BB0||||
1000004099|20200627|20210325|B-|20210325|20220524|BB-|20230621|20230630|CCC0|20240613|20240731|CCC+|20240731|20260101|CC+|||||||
1000004100|20200801|20210422|BBB0|20220118|20220818|BB+|20230101|20230526|CCC+|20230526|20240530|BB-|20240530|20250624|BBB-|20250624|20260512|BBB+|20260512|20280101|BBB+|
1000004101|20200429|20210413|B0|20210413|20220428|B+|20220428|20230511|B0|20230511|20240517|B-|20240517|20250426|CCC0|20250426|20270101|CCC+||||
1000004102|20200820|20210825|BB-|20210825|20220508|BB-|20220508|20230820|BB-|20230820|20240411|B0|20240411|20250617|B+|20250617|20260502|B0|20260502|20280101|CCC+|
1000004103|20200523|20210507|B+|20220429|20220618|BB0|20220618|20230426|BB+|20230426|20240426|BB-|20240426|20250503|BBB-|20250503|20260203|BB-|20260203|20270101|BB0|
1000004104|20200512|20210417|B0|20220407|20220915|BB0|20220915|20230912|BB0|20230912|20240821|BB0|20240821|20250729|BB0|20250729|20260318|BB+|20260318|20270101|BB0|
1000004105|20200514|20210407|BB-|20210407|20220408|B+|20220408|20230422|BB-|20230422|20240321|BB0|20240321|20250414|B+|20250414|20260407|BB-|20260407|20280101|BB+|
1000004106|20220101|20220224|CCC+|20230101|20230525|CCC+|20240826|20240903|BB-|20260101|20260119|CCC0||||||||||
1000004107|20210221|20211112|BB0|20230427|20231018|B0|20231018|20250101|B+|||||||||||||
1000004108|20201105|20210429|R|20210429|20220424|BBB+|20220424|20230419|A0|20230419|20240428|AA-|20240428|20250427|AA-|20250427|20260413|A+|20260413|20280101|BB-|
1000004109|20200509|20210429|BB-|20210429|20220503|BB0|20220503|20230415|BBB-|20230415|20240413|BB0|20240413|20250509|B+|20250509|20260505|BB0|20260505|20280101|BB0|
1000004110|20210101|20210812|CCC+|20210812|20230101|CCC+|20230101|20240817|CCC+|20250524|20250703|B-|20250703|20270101|B+|||||||
1000004111|20130718|20241220|R|||||||||||||||||||
1000004112|20201028|20220701|BB-|20230322|20231017|BB-|20231017|20241016|B0|20241016|20251003|B+|20251003|20270701|BB0|||||||
1000004113|20200101|20210618|CCC+|20220618|20220709|B-|20220709|20240101|CCC+|20240101|20250424|CCC+|20250424|20260416|B-|20260416|20270101|B0||||
1000004114|20200407|20210415|BB0|20210415|20220416|BBB+|20220416|20230304|B0|20230304|20240524|B+|20250427|20250430|BB+|20250430|20260413|BB0|20260413|20280101|BB+|
1000004115|20200101|20220504|CCC+|20220504|20230620|BBB0|20230620|20240522|BBB-|20240522|20250417|BBB-|20250417|20270101|BBB+|||||||
1000004116|20200609|20210422|B-|20210422|20220504|B+|20220504|20230429|B+|20230429|20240420|CCC+|20240420|20250412|CCC+|20250412|20260413|B+|20260413|20280101|CCC+|
1000004117|20210615|20210803|B0|20210803|20220714|BB+|20220714|20230415|BB-|20230415|20241105|BB0|20241105|20250417|B0|20260330|20260502|B0|20260502|20280101|CCC+|
1000004118|20210428|20210501|BBB+|20210501|20220420|BBB0|20220420|20230427|BB-|20230427|20240415|BBB-|20240415|20250501|B+|20250501|20260414|BBB-|20260414|20280101|BBB0|
1000004119|20200411|20210422|BB0|20210422|20220412|BB0|20220412|20230415|BBB0|20230415|20240406|BB0|20240406|20250402|BBB0|20250402|20260401|BBB-|20260401|20280101|BBB-|
1000004120|20210101|20210622|CCC+|20210622|20220610|BB0|20230726|20230801|B0|20230801|20240414|B+|20240414|20250413|BB-|20250413|20270101|B-||||
1000004121|20220101|20220219|CCC+|20230224|20230427|BB-|20250614|20250922|B+|20250922|20270101|BB0||||||||||
1000004122|20180101|20210701|CCC+|20210701|20220614|BB-|20220614|20230401|BB-|20230401|20250101|BB+||||||||||
1000004123|20200822|20210820|B0|20230503|20230718|CCC0|20240618|20240907|CCC+|20250222|20250511|B-|20250511|20260416|BB+|20260416|20280101|B+||||
1000004124|20200522|20210414|BBB-|20210414|20220420|BBB0|20220420|20230417|BBB-|20230417|20240414|BBB-|20240414|20250413|BB0|20250413|20260415|BB+|20260415|20280101|BB+|
1000004125|20200101|20251205|CCC+|20251205|20270101|BB-||||||||||||||||
1000004126|20200527|20220101|BB+|20220101|20240511|CCC+|20240511|20250412|CCC+|20250412|20260510|B0|20260510|20280101|B-|||||||
1000004127|20210101|20210708|CCC+|20210708|20220526|BB+|20230218|20230621|BBB+|20230621|20240601|BBB+|20240601|20250619|A-|20250619|20270101|BB0||||
1000004128|20210101|20230428|CCC+|20230428|20240525|BB0|20240525|20250704|BB-|20250704|20260504|BB0|20260504|20280101|BB+|||||||
1000004129|20210605|20211118|B+|20211118|20220528|BB-|20220528|20230706|BB0|20240419|20240522|BBB-|20250118|20250611|B+|20250611|20260511|BB-|20260511|20280101|CCC+|
1000004130|20200618|20210128|BB0|20220118|20220407|BB+|20230101|20230127|CCC+|20230127|20240101|BB0||||||||||
1000004131|20201021|20210323|B+|20210323|20220401|CCC+|20220401|20230329|BB+|20230329|20240328|BB+|20250426|20251231|CCC0|20260317|20260426|C+|20260426|20280101|C+|
1000004132|20200530|20210626|BBB0|20210626|20220611|BBB0|20220611|20230622|BBB0|20250101|20250627|CCC+|20250627|20260430|BBB-|20260430|20270101|BBB0||||
1000004133|20231018|20231118|CCC0|20231118|20240418|CCC+|20240418|20250605|B0|20250605|20260429|B0|20260429|20280101|B-|||||||
1000004134|20210101|20210224|CCC+|20220101|20220719|CCC+|20220719|20230409|BB-|20230409|20250101|B+||||||||||
1000004135|20200612|20210618|BB+|20210618|20220526|BB+|20220526|20230428|BB+|20230428|20240518|B+|20240518|20250610|B+|20250610|20270101|B+||||
1000004136|20170101|20210825|CCC+|20220128|20220427|B-|20220427|20230511|CCC+|20230511|20240824|B+|20240824|20250703|BB-|20250703|20270101|B+||||
1000004137|20210323|20210407|BBB+|20210407|20220325|A-|20220325|20230401|A-|20230401|20240326|A0|20240326|20250329|A+|20250329|20260412|AA-|20260412|20280101|A+|
1000004138|20221220|20221222|B-|20230120|20230401|B-|20240101|20240302|C+|||||||||||||
1000004139|20211118|20211203|CCC-|20211203|20220705|CCC+|20230305|20230504|B0|20230504|20240416|B+|20240416|20250701|B+|20250701|20260423|B+|20260423|20280101|B0|
1000004140|20200428|20210501|CCC+|20210501|20220430|CCC+|20220430|20231107|CCC0|20231107|20240731|C+|20250708|20250826|CC+|20250826|20270101|CCC-||||
